 C C Insel 1
           7   4.98370000000000        7.22660000000000       0.000000000000000E+000
           8   5.03910000000000        7.22660000000000       0.000000000000000E+000
           9   5.05210000000000        7.20050000000000       0.000000000000000E+000
          10   5.07570000000000        7.22110000000000       0.000000000000000E+000
          11   5.09920000000000        7.24180000000000       0.000000000000000E+000
          12   5.12770000000000        7.26670000000000       0.000000000000000E+000
          13   5.15620000000000        7.29170000000000       0.000000000000000E+000
          14   5.22140000000000        7.22660000000000       0.000000000000000E+000
          15   5.28650000000000        7.16150000000000       0.000000000000000E+000
          16   5.38410000000000        7.18750000000000       0.000000000000000E+000
          17   5.48180000000000        7.21350000000000       0.000000000000000E+000
          18   5.52730000000000        7.13870000000000       0.000000000000000E+000
          19   5.57290000000000        7.06380000000000       0.000000000000000E+000
          20   5.61850000000000        6.98890000000000       0.000000000000000E+000
          21   5.66410000000000        6.91410000000000       0.000000000000000E+000
          22   5.58590000000000        6.84240000000000       0.000000000000000E+000
          23   5.54690000000000        6.80660000000000       0.000000000000000E+000
          24   5.50780000000000        6.77080000000000       0.000000000000000E+000
          25   5.50780000000000        6.71870000000000       0.000000000000000E+000
          26   5.50780000000000        6.66670000000000       0.000000000000000E+000
          27   5.50780000000000        6.56250000000000       0.000000000000000E+000
          28   5.45740000000000        6.55760000000000       0.000000000000000E+000
          29   5.40690000000000        6.55270000000000       0.000000000000000E+000
          30   5.35640000000000        6.54790000000000       0.000000000000000E+000
          31   5.30600000000000        6.54300000000000       0.000000000000000E+000
          32   5.20510000000000        6.53320000000000       0.000000000000000E+000
          33   5.15460000000000        6.52830000000000       0.000000000000000E+000
          34   5.10420000000000        6.52340000000000       0.000000000000000E+000
          35   5.02600000000000        6.55920000000000       0.000000000000000E+000
          36   4.98700000000000        6.57710000000000       0.000000000000000E+000
          37   4.94790000000000        6.59510000000000       0.000000000000000E+000
          38   4.86980000000000        6.63090000000000       0.000000000000000E+000
          39   4.79170000000000        6.66670000000000       0.000000000000000E+000
          40   4.74610000000000        6.71220000000000       0.000000000000000E+000
          41   4.70050000000000        6.75780000000000       0.000000000000000E+000
          42   4.65490000000000        6.80340000000000       0.000000000000000E+000
          43   4.60940000000000        6.84900000000000       0.000000000000000E+000
          44   4.61910000000000        6.90100000000000       0.000000000000000E+000
          45   4.62890000000000        6.95310000000000       0.000000000000000E+000
  -1 
 C C Insel 3
           0   6.32160000000000        6.89450000000000       0.000000000000000E+000
           1   6.37700000000000        6.91730000000000       0.000000000000000E+000
           2   6.43230000000000        6.94010000000000       0.000000000000000E+000
           3   6.51040000000000        7.00520000000000       0.000000000000000E+000
           4   6.61460000000000        7.00520000000000       0.000000000000000E+000
           5   6.71880000000000        7.00520000000000       0.000000000000000E+000
           6   6.82290000000000        6.95310000000000       0.000000000000000E+000
           7   6.88800000000000        6.96610000000000       0.000000000000000E+000
           8   6.95310000000000        6.97920000000000       0.000000000000000E+000
           9   7.01820000000000        6.99220000000000       0.000000000000000E+000
          10   7.08330000000000        7.00520000000000       0.000000000000000E+000
          11   7.14190000000000        6.96610000000000       0.000000000000000E+000
          12   7.20050000000000        6.92710000000000       0.000000000000000E+000
          13   7.25910000000000        6.88800000000000       0.000000000000000E+000
          14   7.28840000000000        6.86850000000000       0.000000000000000E+000
          15   7.31770000000000        6.84900000000000       0.000000000000000E+000
          16   7.31200000000000        6.83370000000000       0.000000000000000E+000
          17   7.30460000000000        6.81280000000000       0.000000000000000E+000
          18   7.29720000000000        6.79190000000000       0.000000000000000E+000
          19   7.28230000000000        6.75020000000000       0.000000000000000E+000
          20   7.25260000000000        6.66670000000000       0.000000000000000E+000
          21   7.18750000000000        6.61460000000000       0.000000000000000E+000
          22   7.14520000000000        6.55270000000000       0.000000000000000E+000
          23   7.10290000000000        6.49090000000000       0.000000000000000E+000
          24   7.06050000000000        6.42900000000000       0.000000000000000E+000
          25   7.01820000000000        6.36720000000000       0.000000000000000E+000
          26   6.92380000000000        6.33790000000000       0.000000000000000E+000
          27   6.82940000000000        6.30860000000000       0.000000000000000E+000
          28   6.73500000000000        6.27930000000000       0.000000000000000E+000
          29   6.64060000000000        6.25000000000000       0.000000000000000E+000
          30   6.58530000000000        6.29560000000000       0.000000000000000E+000
          31   6.52990000000000        6.34110000000000       0.000000000000000E+000
          32   6.47460000000000        6.38670000000000       0.000000000000000E+000
          33   6.41930000000000        6.43230000000000       0.000000000000000E+000
          34   6.36720000000000        6.51040000000000       0.000000000000000E+000
          35   6.31510000000000        6.58850000000000       0.000000000000000E+000
          36   6.26300000000000        6.64710000000000       0.000000000000000E+000
          37   6.21090000000000        6.70570000000000       0.000000000000000E+000
          38   6.21090000000000        6.77730000000000       0.000000000000000E+000
          39   6.21090000000000        6.84900000000000       0.000000000000000E+000
          40   6.26630000000000        6.87170000000000       0.000000000000000E+000
  -1 
