        ID         X         Y         Z
           1 ,   48.46450     ,   71.65660     ,   3.018700    
           1 ,   72.62920     ,   91.02510     ,   3.418700    
           1 ,   47.82750     ,   102.1973     ,   2.737500    
           2 ,   83.73620     ,   186.5063     ,   2.512500    
           2 ,   46.55350     ,   163.2785     ,   2.175000    
           2 ,   72.06220     ,   162.6893     ,   2.512500    
           3 ,   322.0073     ,   432.1630     ,   3.262500    
           3 ,   298.9593     ,   446.6110     ,   3.062500    
           3 ,   294.8115     ,   421.0740     ,   3.525000    
           4 ,   415.0050     ,   322.6276     ,   9.063800    
           4 ,   389.7315     ,   318.4736     ,   9.058700    
           4 ,   412.1180     ,   287.6601     ,   9.047500    
           5 ,   667.2487     ,   376.3722     ,   7.182500    
           5 ,   644.6547     ,   358.4000     ,   7.922500    
           5 ,   671.0184     ,   349.7115     ,   8.265000    
           6 ,   883.4982     ,   331.6210     ,   9.750000    
           6 ,   859.9547     ,   308.6985     ,   9.627500    
           6 ,   898.3185     ,   307.6180     ,   10.00000    
           7 ,   991.0000     ,   179.0000     ,  9.9999998E-03
           7 ,   977.6559     ,   175.3870     ,   11.20000    
           7 ,   987.2817     ,   151.3729     ,   11.50000    
           8 ,   987.2817     ,   151.3729     ,   11.50000    
           8 ,   1002.936     ,   178.7500     ,  9.9999998E-03
           8 ,   991.0000     ,   179.0000     ,  9.9999998E-03
           9 ,   1056.232     ,   189.4520     ,   11.70000    
           9 ,   1049.353     ,   159.3465     ,   11.70000    
           9 ,   1080.526     ,   167.5010     ,   11.90000    
          10 ,   1388.020     ,   484.8795     ,   15.41250    
          10 ,   1346.756     ,   477.6333     ,   14.75000    
          10 ,   1368.057     ,   459.2175     ,   15.00000    
          11 ,   1197.520     ,   29.85870     ,   13.88910    
          11 ,   1225.748     ,   4.158000     ,   14.50000    
          11 ,   1220.410     ,   41.67960     ,   14.25000    
          12 ,   2068.311     ,   37.01750     ,   18.00000    
          12 ,   2044.845     ,   4.309300     ,   17.50000    
          12 ,   2083.000     ,   4.611000     ,   18.00000    
          13 ,   1405.376     ,   715.1475     ,   17.95000    
          13 ,   1364.428     ,   693.0760     ,   17.20000    
          13 ,   1405.779     ,   689.2510     ,   17.90000    
          14 ,   2221.009     ,   315.9034     ,   20.00000    
          14 ,   2204.344     ,   360.6510     ,   20.00000    
          14 ,   2192.472     ,   324.3769     ,   19.00000    
          15 ,   2175.808     ,   369.1245     ,   19.00000    
          15 ,   2192.472     ,   324.3769     ,   19.00000    
          15 ,   2204.344     ,   360.6510     ,   20.00000    
          16 ,   24.93670     ,   21.74750     ,   2.900000    
          16 ,  -10.68050     ,   50.52850     ,   2.000000    
          16 ,  0.7720000     ,   2.379000     ,   2.500000    
          17 ,   17.26450     ,   116.8824     ,   2.118700    
          17 ,   16.62750     ,   147.4230     ,   1.837500    
          17 ,  -13.29850     ,   131.5675     ,   1.500000    
          18 ,   57.35660     ,   234.7359     ,   1.781200    
          18 ,   21.27500     ,   209.7370     ,   1.500000    
          18 ,   69.90150     ,   210.9125     ,   2.175000    
          19 ,   66.84950     ,   346.9110     ,   1.725000    
          19 ,   95.28600     ,   351.0900     ,   1.950000    
          19 ,   81.91600     ,   391.7115     ,   1.500000    
          20 ,   66.84950     ,   346.9110     ,   1.725000    
          20 ,   47.65800     ,   373.6470     ,   1.500000    
          20 ,   38.41300     ,   342.7320     ,   1.500000    
          21 ,   107.2660     ,   211.2080     ,   2.787500    
          21 ,   82.95970     ,   234.7408     ,   2.062500    
          21 ,   69.90150     ,   210.9125     ,   2.175000    
          22 ,   258.3145     ,   61.15700     ,   5.700000    
          22 ,   236.9907     ,   82.53820     ,   5.362500    
          22 ,   236.5220     ,   41.80700     ,   5.550000    
          23 ,   180.7018     ,   375.2923     ,   2.250000    
          23 ,   190.4083     ,   397.9072     ,   2.250000    
          23 ,   165.6635     ,   401.8635     ,   2.000000    
          24 ,   277.1496     ,   204.4456     ,   5.050000    
          24 ,   235.5695     ,   212.2225     ,   4.750000    
          24 ,   257.5037     ,   188.6712     ,   5.000000    
          25 ,   295.0045     ,   21.70830     ,   6.087500    
          25 ,   328.6155     ,   21.57880     ,   6.337500    
          25 ,   312.4460     ,   41.22150     ,   6.175000    
          26 ,   438.6165     ,   286.9307     ,   9.041300    
