 *****************************
 *****************************
 *****************************
           Time    Hsig  RTpeak    Tm01    Tm02   Tm_10    FSpr     Dir    Dspr   PkDir
 *****************************
 *****************************
 *****************************
 20000101.000450    2    0.66   14.28   10.82   10.21   12.01    5.35  264.56  264.56  265.00
 20000101.000500    1    0.64   14.28   10.83   10.21   12.05    5.51  264.67  264.67  265.00
 20000101.000500    2    0.69   14.28   10.51    9.91   11.74    5.26  264.64  264.64  265.00
 20000101.000510    1    0.66   14.28   10.63    9.99   11.91    5.57  264.65  264.65  265.00
 20000101.000510    2    0.72   14.28   10.24    9.60   11.53    5.17  264.72  264.72  265.00
 20000101.000520    1    0.69   14.28   10.36    9.71   11.67    5.58  264.64  264.64  265.00
 20000101.000520    2    0.74   14.28   10.10    9.45   11.44    5.20  264.71  264.71  265.00
 20000101.000530    1    0.72   14.28   10.27    9.59   11.66    5.56  264.65  264.65  265.00
 20000101.000530    2    0.75   14.28   10.13    9.45   11.51    5.15  264.74  264.74  265.00
 20000101.000540    1    0.74   14.28   10.01    9.35   11.40    5.49  264.68  264.68  265.00
 20000101.000540    2    0.76   14.28   10.08    9.41   11.44    5.11  264.79  264.79  265.00
 20000101.000550    1    0.75   14.28   10.05    9.35   11.47    5.51  264.67  264.67  265.00
 20000101.000550    2    0.76   14.28   10.06    9.37   11.46    5.06  264.84  264.84  265.00
 20000101.000600    1    0.74   14.28    9.75    9.10   11.14    5.50  264.69  264.69  265.00
 20000101.000600    2    0.76   14.28    9.82    9.17   11.18    5.14  264.78  264.78  265.00
 20000101.000610    1    0.76   14.28    9.91    9.22   11.33    5.48  264.69  264.69  265.00
 20000101.000610    2    0.78   14.28    9.91    9.21   11.33    5.15  264.74  264.74  265.00
 20000101.000620    1    0.76   14.28    9.69    9.04   11.07    5.49  264.70  264.70  265.00
 20000101.000620    2    0.78   14.28    9.67    9.00   11.08    5.20  264.73  264.73  265.00
 20000101.000630    1    0.78   14.28    9.74    9.05   11.20    5.44  264.71  264.71  265.00
 20000101.000630    2    0.78   14.28    9.71    8.99   11.19    5.13  264.76  264.76  265.00
 20000101.000640    1    0.77   14.28    9.53    8.87   10.95    5.50  264.69  264.69  265.00
 20000101.000640    2    0.79   14.28    9.55    8.87   10.98    5.17  264.74  264.74  265.00
 20000101.000650    1    0.79   14.28    9.63    8.93   11.11    5.45  264.71  264.71  265.00
 20000101.000650    2    0.79   14.28    9.59    8.87   11.10    5.16  264.74  264.74  265.00
 20000101.000700    1    0.78   14.28    9.44    8.78   10.88    5.46  264.71  264.71  265.00
 20000101.000700    2    0.78   14.28    9.43    8.73   10.90    5.26  264.67  264.67  265.00
 20000101.000710    1    0.78   14.28    9.53    8.82   11.05    5.45  264.71  264.71  265.00
 20000101.000710    2    0.80   14.28    9.49    8.75   11.04    5.10  264.78  264.78  265.00
 20000101.000720    1    0.78   14.28    9.36    8.68   10.83    5.46  264.71  264.71  265.00
 20000101.000720    2    0.80   14.28    9.32    8.62   10.83    5.15  264.77  264.77  265.00
 20000101.000730    1    0.80   14.28    9.44    8.72   10.98    5.44  264.71  264.71  265.00
 20000101.000730    2    0.81   14.28    9.35    8.62   10.90    5.13  264.76  264.76  265.00
 20000101.000740    1    0.79   14.28    9.29    8.62   10.76    5.46  264.70  264.70  265.00
 20000101.000740    2    0.81   14.28    9.25    8.54   10.77    5.20  264.72  264.72  265.00
 20000101.000750    1    0.81   14.28    9.39    8.67   10.94    5.43  264.72  264.72  265.00
 20000101.000750    2    0.82   14.28    9.29    8.54   10.89    5.09  264.78  264.78  265.00
 20000101.000800    1    0.80   14.28    9.22    8.53   10.72    5.43  264.72  264.72  265.00
 20000101.000800    2    0.81   14.28    9.13    8.41   10.68    5.13  264.78  264.78  265.00
 20000101.000810    1    0.81   14.28    9.31    8.58   10.89    5.44  264.72  264.72  265.00
 20000101.000810    2    0.83   14.28    9.18    8.43   10.79    5.12  264.76  264.76  265.00
 20000101.000820    1    0.81   14.28    9.14    8.45   10.65    5.42  264.72  264.72  265.00
 20000101.000820    2    0.82   14.28    9.05    8.33   10.61    5.17  264.74  264.74  265.00
 20000101.000830    1    0.82   14.28    9.20    8.48   10.79    5.41  264.73  264.73  265.00
 20000101.000830    2    0.83   14.28    9.09    8.35   10.72    5.07  264.80  264.80  265.00
 20000101.000840    1    0.82   14.28    9.12    8.42   10.63    5.41  264.72  264.72  265.00
 20000101.000840    2    0.83   14.28    9.01    8.29   10.59    5.11  264.79  264.79  265.00
 20000101.000850    1    0.83   14.28    9.20    8.47   10.80    5.41  264.72  264.72  265.00
 20000101.000850    2    0.84   14.28    9.03    8.28   10.68    5.15  264.74  264.74  265.00
 20000101.000900    1    0.82   14.28    9.05    8.35   10.57    5.40  264.74  264.74  265.00
 20000101.000900    2    0.83   14.28    8.93    8.20   10.52    5.12  264.77  264.77  265.00
 20000101.000910    1    0.83   14.28    9.14    8.40   10.76    5.39  264.73  264.73  265.00
 20000101.000910    2    0.84   14.28    8.98    8.22   10.65    5.07  264.80  264.80  265.00
 20000101.000920    1    0.82   14.28    8.99    8.29   10.53    5.41  264.73  264.73  265.00
 20000101.000920    2    0.84   14.28    8.85    8.13   10.46    5.14  264.76  264.76  265.00
 20000101.000930    1    0.84   14.28    9.09    8.36   10.71    5.39  264.73  264.73  265.00
 20000101.000930    2    0.85   14.28    8.92    8.15   10.60    5.10  264.78  264.78  265.00
 20000101.000940    1    0.83   14.28    8.97    8.27   10.52    5.39  264.73  264.73  265.00
 20000101.000940    2    0.84   14.28    8.79    8.07   10.42    5.10  264.78  264.78  265.00
 20000101.000950    1    0.85   14.28    9.05    8.31   10.67    5.38  264.74  264.74  265.00
 20000101.000950    2    0.85   14.28    8.84    8.08   10.53    5.08  264.79  264.79  265.00
 20000101.001000    1    0.84   14.28    8.91    8.21   10.47    5.37  264.74  264.74  265.00
 20000101.001000    2    0.85   14.28    8.77    8.04   10.41    5.11  264.77  264.77  265.00
 20000101.001010    1    0.85   14.28    9.03    8.28   10.67    5.39  264.73  264.73  265.00
 20000101.001010    2    0.86   14.28    8.81    8.05   10.52    5.09  264.78  264.78  265.00
 20000101.001020    1    0.84   14.28    8.86    8.16   10.43    5.35  264.75  264.75  265.00
 20000101.001020    2    0.85   14.28    8.75    8.03   10.38    5.08  264.79  264.79  265.00
 20000101.001030    1    0.86   14.28    8.97    8.22   10.62    5.39  264.73  264.73  265.00
 20000101.001030    2    0.86   14.28    8.82    8.05   10.52    5.11  264.77  264.77  265.00
 20000101.001040    1    0.85   14.28    8.81    8.10   10.39    5.36  264.75  264.75  265.00
 20000101.001040    2    0.85   14.28    8.75    8.02   10.38    5.11  264.77  264.77  265.00
 20000101.001050    1    0.86   14.28    8.91    8.17   10.57    5.36  264.74  264.74  265.00
 20000101.001050    2    0.86   14.28    8.81    8.05   10.52    5.07  264.80  264.80  265.00
 20000101.001100    1    0.85   14.28    8.75    8.05   10.35    5.35  264.75  264.75  265.00
 20000101.001100    2    0.85   14.28    8.75    8.02   10.38    5.12  264.77  264.77  265.00
 20000101.001110    1    0.87   14.28    8.86    8.12   10.54    5.35  264.75  264.75  265.00
 20000101.001110    2    0.86   14.28    8.81    8.04   10.52    5.09  264.78  264.78  265.00
 20000101.001120    1    0.85   14.28    8.70    7.99   10.31    5.34  264.76  264.76  265.00
 20000101.001120    2    0.85   14.28    8.72    7.99   10.36    5.09  264.79  264.79  265.00
 20000101.001130    1    0.87   14.28    8.80    8.05   10.49    5.34  264.75  264.75  265.00
 20000101.001130    2    0.86   14.28    8.79    8.02   10.50    5.10  264.77  264.77  265.00
 20000101.001140    1    0.86   14.28    8.63    7.92   10.26    5.34  264.76  264.76  265.00
 20000101.001140    2    0.85   14.28    8.71    7.98   10.36    5.11  264.77  264.77  265.00
 20000101.001150    1    0.87   14.28    8.74    7.99   10.44    5.33  264.75  264.75  265.00
 20000101.001150    2    0.86   14.28    8.78    8.01   10.50    5.07  264.79  264.79  265.00
 20000101.001200    1    0.86   14.28    8.58    7.87   10.21    5.33  264.76  264.76  265.00
 20000101.001200    2    0.85   14.28    8.71    7.98   10.36    5.12  264.77  264.77  265.00
 20000101.001210    1    0.87   14.28    8.69    7.93   10.40    5.33  264.76  264.76  265.00
 20000101.001210    2    0.86   14.28    8.79    8.01   10.50    5.08  264.78  264.78  265.00
 20000101.001220    1    0.86   14.28    8.54    7.83   10.19    5.32  264.76  264.76  265.00
 20000101.001220    2    0.85   14.28    8.72    7.98   10.36    5.11  264.77  264.77  265.00
 20000101.001230    1    0.88   14.28    8.65    7.90   10.37    5.32  264.76  264.76  265.00
 20000101.001230    2    0.86   14.28    8.80    8.03   10.52    5.08  264.78  264.78  265.00
 20000101.001240    1    0.87   14.28    8.56    7.85   10.19    5.30  264.77  264.77  265.00
 20000101.001240    2    0.85   14.28    8.74    8.00   10.38    5.12  264.77  264.77  265.00
 20000101.001250    1    0.88   14.28    8.67    7.92   10.39    5.31  264.76  264.76  265.00
 20000101.001250    2    0.86   14.28    8.80    8.03   10.52    5.08  264.78  264.78  265.00
 20000101.001300    1    0.87   14.28    8.56    7.84   10.20    5.30  264.77  264.77  265.00
 20000101.001300    2    0.85   14.28    8.72    7.99   10.37    5.12  264.77  264.77  265.00
 20000101.001310    1    0.88   14.28    8.65    7.90   10.38    5.31  264.76  264.76  265.00
 20000101.001310    2    0.86   14.28    8.79    8.01   10.52    5.09  264.78  264.78  265.00
 20000101.001320    1    0.87   14.28    8.53    7.82   10.18    5.31  264.77  264.77  265.00
 20000101.001320    2    0.85   14.28    8.71    7.97   10.37    5.12  264.77  264.77  265.00
 20000101.001330    1    0.88   14.28    8.64    7.88   10.38    5.31  264.76  264.76  265.00
 20000101.001330    2    0.86   14.28    8.77    7.99   10.51    5.09  264.78  264.78  265.00
 20000101.001340    1    0.87   14.28    8.52    7.80   10.18    5.31  264.77  264.77  265.00
 20000101.001340    2    0.85   14.28    8.70    7.95   10.36    5.12  264.77  264.77  265.00
 20000101.001350    1    0.88   14.28    8.63    7.87   10.37    5.31  264.76  264.76  265.00
 20000101.001350    2    0.86   14.28    8.76    7.98   10.50    5.08  264.79  264.79  265.00
 20000101.001400    1    0.87   14.28    8.52    7.79   10.17    5.31  264.77  264.77  265.00
 20000101.001400    2    0.85   14.28    8.69    7.94   10.36    5.13  264.76  264.76  265.00
 20000101.001410    1    0.88   14.28    8.62    7.86   10.36    5.31  264.77  264.77  265.00
 20000101.001410    2    0.86   14.28    8.76    7.98   10.51    5.09  264.78  264.78  265.00
 20000101.001420    1    0.87   14.28    8.51    7.79   10.17    5.31  264.77  264.77  265.00
 20000101.001420    2    0.85   14.28    8.69    7.95   10.36    5.11  264.77  264.77  265.00
 20000101.001430    1    0.88   14.28    8.62    7.86   10.37    5.31  264.77  264.77  265.00
 20000101.001430    2    0.86   14.28    8.77    7.98   10.51    5.10  264.77  264.77  265.00
 20000101.001440    1    0.87   14.28    8.52    7.79   10.17    5.30  264.77  264.77  265.00
 20000101.001440    2    0.85   14.28    8.70    7.95   10.37    5.11  264.77  264.77  265.00
 20000101.001450    1    0.88   14.28    8.63    7.87   10.37    5.31  264.76  264.76  265.00
 20000101.001450    2    0.86   14.28    8.76    7.98   10.50    5.09  264.78  264.78  265.00
 20000101.001500    1    0.87   14.28    8.52    7.80   10.18    5.30  264.77  264.77  265.00
 20000101.001500    2    0.85   14.28    8.69    7.95   10.36    5.13  264.76  264.76  265.00
 20000101.001510    1    0.88   14.28    8.63    7.86   10.37    5.31  264.76  264.76  265.00
 20000101.001510    2    0.86   14.28    8.76    7.97   10.50    5.08  264.79  264.79  265.00
 20000101.001520    1    0.87   14.28    8.51    7.79   10.17    5.30  264.77  264.77  265.00
 20000101.001520    2    0.85   14.28    8.68    7.93   10.35    5.13  264.76  264.76  265.00
 20000101.001530    1    0.88   14.28    8.62    7.85   10.36    5.31  264.77  264.77  265.00
 20000101.001530    2    0.86   14.28    8.75    7.95   10.49    5.09  264.78  264.78  265.00
 20000101.001540    1    0.87   14.28    8.50    7.77   10.17    5.30  264.77  264.77  265.00
 20000101.001540    2    0.85   14.28    8.67    7.91   10.35    5.11  264.76  264.76  265.00
 20000101.001550    1    0.88   14.28    8.61    7.84   10.36    5.31  264.77  264.77  265.00
 20000101.001550    2    0.86   14.28    8.73    7.94   10.49    5.10  264.77  264.77  265.00
 20000101.001600    1    0.87   14.28    8.49    7.76   10.16    5.30  264.77  264.77  265.00
 20000101.001600    2    0.85   14.28    8.67    7.91   10.35    5.11  264.77  264.77  265.00
 20000101.001610    1    0.88   14.28    8.60    7.83   10.35    5.31  264.76  264.76  265.00
 20000101.001610    2    0.86   14.28    8.73    7.93   10.49    5.10  264.78  264.78  265.00
 20000101.001620    1    0.87   14.28    8.49    7.75   10.16    5.30  264.77  264.77  265.00
 20000101.001620    2    0.85   14.28    8.66    7.90   10.34    5.12  264.76  264.76  265.00
 20000101.001630    1    0.88   14.28    8.60    7.82   10.36    5.31  264.77  264.77  265.00
 20000101.001630    2    0.86   14.28    8.74    7.94   10.50    5.10  264.77  264.77  265.00
 20000101.001640    1    0.87   14.28    8.49    7.75   10.16    5.30  264.77  264.77  265.00
 20000101.001640    2    0.85   14.28    8.67    7.90   10.35    5.11  264.77  264.77  265.00
 20000101.001650    1    0.88   14.28    8.60    7.82   10.36    5.31  264.76  264.76  265.00
 20000101.001650    2    0.86   14.28    8.74    7.94   10.50    5.10  264.77  264.77  265.00
 20000101.001700    1    0.87   14.28    8.49    7.76   10.17    5.30  264.77  264.77  265.00
 20000101.001700    2    0.85   14.28    8.67    7.91   10.36    5.12  264.77  264.77  265.00
 20000101.001710    1    0.88   14.28    8.61    7.83   10.37    5.31  264.76  264.76  265.00
 20000101.001710    2    0.85   14.28    8.74    7.93   10.50    5.09  264.78  264.78  265.00
 20000101.001720    1    0.86   14.28    8.49    7.76   10.17    5.31  264.77  264.77  265.00
 20000101.001720    2    0.85   14.28    8.67    7.90   10.35    5.13  264.76  264.76  265.00
 20000101.001730    1    0.88   14.28    8.60    7.82   10.37    5.30  264.77  264.77  265.00
 20000101.001730    2    0.86   14.28    8.73    7.93   10.50    5.08  264.78  264.78  265.00
 20000101.001740    1    0.87   14.28    8.49    7.76   10.17    5.31  264.77  264.77  265.00
 20000101.001740    2    0.85   14.28    8.66    7.90   10.35    5.13  264.76  264.76  265.00
 20000101.001750    1    0.88   14.28    8.60    7.82   10.36    5.31  264.77  264.77  265.00
 20000101.001750    2    0.86   14.28    8.73    7.92   10.50    5.09  264.78  264.78  265.00
 20000101.001800    1    0.87   14.28    8.49    7.75   10.17    5.31  264.77  264.77  265.00
 20000101.001800    2    0.85   14.28    8.66    7.89   10.35    5.11  264.77  264.77  265.00
 20000101.001810    1    0.88   14.28    8.59    7.81   10.36    5.31  264.76  264.76  265.00
